,act_percent_took_exam,asian_percent,black_percent,class_grad_year,college_career_readiness_index,college_nys_private,college_nys_public,college_out_of_state,college_readiness_index,cuny_2yr,cuny_4yr,dbn,disability_percent,district_admin_code,district_geo_code,dropouts_percent,ell_percent,enrollment,grade8_english,grade8_math,graduation_rate,hispanic_percent,male_percent,post-secondary_enroll_rate,poverty_percent,public_service,regents_algebra,regents_english,sat_math,sat_percent_took_exam,sat_reading,sat_score_overall,sat_writing,school_desc,school_environment_survey,self-contained_percent,student_attendance_rate,teacher_attendance,vocational_prog,white_percent,zip_code,school_day_length
855,0.11,0.291797,0.061856,2014,0.825,0.17,0.088,0.029,0.727,0.267,0.253,24Q610,0.092784,24.0,24.0,0.0081466,0.025549,2231.0,2.777947,2.917652,0.939,0.518602,0.830121040344,0.815,1.0,0.008,77.0,80.0,520.0,0.747,466.0,1441.0,455.0,Career Technical,0.89,0.043478,0.953,0.961,0.0,0.108023,11101.0,510.0
856,,0.185484,0.153226,2014,,,,,,,,25Q240,0.209677,,,,0.096774,124.0,2.648649,2.544595,,0.532258,0.475806444883,,0.741935491562,,71.0,,,,,,,,,0.096774,0.913,0.969,,0.112903,11354.0,410.0
857,,0.671429,0.085714,2014,,,,,,,,25Q241,0.057143,,,,0.385714,70.0,2.589767,2.626383,,0.214286,0.5,,0.928571403027,,80.0,,,,,,,,,0.0,0.943,0.991,,0.014286,11354.0,450.0
858,0.233,0.350482,0.192926,2014,0.986,0.013,0.026,0.0,0.712,0.276,0.539,25Q252,0.141479,25.0,25.0,0.0138889,0.016077,311.0,3.018969,2.894847,0.932,0.247588,0.506779670715,0.855,0.571186423302,0.0,72.0,81.0,526.0,0.89,492.0,1518.0,500.0,General Academic,0.89,0.006431,0.944,0.977,0.0,0.173633,11366.0,379.0
859,0.0,0.59466,0.024272,2014,0.417,0.01,0.02,0.0,0.226,0.396,0.158,25Q263,0.021845,25.0,25.0,0.082352941,0.864078,412.0,1.809931,2.429607,0.69,0.347087,0.584951460361,0.584,0.973300993443,0.0,69.0,60.0,444.0,0.726,319.0,1083.0,320.0,General Academic,0.93,0.002427,0.937,0.976,0.0,0.029126,11355.0,410.0
860,0.114,0.606469,0.150943,2014,0.489,0.185,0.152,0.033,0.534,0.162,0.272,25Q281,0.175202,25.0,25.0,0.0,0.161725,371.0,2.669309,2.814431,0.92,0.183288,0.536547422409,0.804,0.833592534065,0.0,75.0,74.0,516.0,0.898,469.0,1431.0,446.0,General Academic,0.88,0.043127,0.897,0.973,0.0,0.048518,11355.0,420.0
861,0.114,0.157182,0.086721,2014,0.304,0.125,0.1,0.088,0.405,0.287,0.2,25Q285,0.252033,25.0,25.0,0.0,0.00271,369.0,2.900147,2.548171,0.949,0.214092,0.413793116808,0.8,0.486042678356,0.0,71.0,77.0,447.0,0.924,477.0,1400.0,476.0,General Academic,0.88,0.01626,0.912,0.967,0.0,0.520325,11358.0,420.0
862,0.047,0.308436,0.189952,2014,0.489,0.04,0.062,0.018,0.337,0.279,0.109,25Q425,0.147233,25.0,25.0,0.084801762,0.240193,3722.0,2.450247,2.423922,0.658,0.440892,0.497850626707,0.508,0.732939302921,0.0,70.0,67.0,460.0,0.622,418.0,1294.0,416.0,General Academic,0.83,0.07093,0.83,0.961,0.0,0.048898,11367.0,405.0
863,0.052,0.201681,0.258904,2014,0.39,0.015,0.03,0.012,0.238,0.263,0.065,25Q460,0.160464,25.0,25.0,0.152317881,0.196879,2499.0,2.373863,2.302158,0.565,0.493798,0.571428596973,0.386,0.719487786293,0.0,62.0,61.0,448.0,0.496,410.0,1260.0,402.0,General Academic,0.76,0.071228,0.836,0.96,0.0,0.036415,11354.0,405.0
864,0.518,0.581234,0.059948,2014,1.0,0.269,0.168,0.198,1.0,0.03,0.331,25Q525,0.007819,25.0,25.0,0.0,0.0,1151.0,3.987422,4.046094,1.0,0.125109,0.299739360809,0.996,0.509122490883,0.0,90.0,92.0,665.0,0.982,637.0,1955.0,653.0,General Academic,0.92,0.001738,0.972,0.952,0.0,0.220678,11367.0,400.0
